"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code","Created Date"
"1063344588","Aaron Savedoff MD & Associates PLLC","3","05/31/2026"
"1063344588","FiDi Psychiatry","3","05/31/2026"
"1245162957","UNC Health Appalachian","5","05/20/2026"
"1255263778","Intentional Healing","3","05/04/2026"
"1336793405","Accessible DBT, Inc.","3","04/13/2020"
"1417889957","Villages at Willows","3","05/31/2026"
"1487402954","Shelia D. Duncan Wheeler, LCSW","3","05/09/2024"
"1487402954","Shelia D. Duncan Wheeler, LCSW","3","05/15/2024"
"1619809167","Avenir Behavioral Health","3","05/31/2026"
"1750213203","Khalsa Community Center","3","05/31/2026"
"1780516203","Radica Nutrition","3","05/31/2026"
"1891627352","LF3 Love Factor","5","05/31/2026"
"1912216219","LHC Aquisitions, LLC","3","10/04/2010"
"1962350850","Western Skies Wellness and Primary Care, P.C.","3","03/17/2026"
"1033552971","Fairview North Branch Clinic MTM","3","04/15/2013"
"1033552971","Fairview North Branch Clinic MTM","3","11/08/2021"
"1063615979","Fairview Maple Grove Clinic MTM","3","09/28/2022"
"1093013351","Resolve Physical Therapy and Rehabilitation","3","01/09/2018"
"1093647554","Redbird Psychiatry & Wellness","3","05/31/2026"
"1104331438","Fairview Oakdale Clinic MTM","3","06/01/2026"
"1104331438","HealthEast Oakdale Clinic MTM","3","12/08/2017"
"1124533450","Fairview Rice Street Clinic MTM","3","06/01/2026"
"1124533450","HealthEast Rice Street Clinic MTM","3","12/08/2017"
"1154035939","Entira Family Clinic MTM-Shoreview","3","04/20/2023"
"1154035939","Fairview Shoreview Clinic MTM Entira","3","06/01/2026"
"1215152863","Fairview Riverside Clinic MTM","3","08/31/2022"
"1255112801","Ashley Clinic DME","3","10/10/2023"
"1275465742","Ayuda Autism Services","3","05/31/2026"
"1457008385","FamilyCare HealthCenter","3","04/01/2022"
"1699607168","HEART & MIND MD","3","05/31/2026"
"1083774665","Tampa Cardiovascular Associates","3","10/03/2024"
"1144907148","Priority1Care Professionals","3","06/21/2023"
"1154251676","Baltimore City Health Department","3","05/22/2026"
"1154251676","Behavioral Health Clinic","5","05/22/2026"
"1154251676","Behavioral Health Clinic-Mobile","5","05/22/2026"
"1215975461","ACME PHARMACY #0809","3","06/01/2026"
"1215975461","SAV-ON PHARMACY #0809","3","07/30/2018"
"1255270161","Fairview Clinic Maplewood MTM","3","03/26/2026"
"1295178135","Fairview Richfield Medical Clinic MTM RMG","3","06/01/2026"
"1295178135","Richfield Medical Group MTM","3","04/10/2013"
"1295781292","ACME PHARMACY #3753","3","06/01/2026"
"1295781292","SAV-ON PHARMACY #3753","3","07/30/2018"
"1316072358","Fairview Specialties Clinic MTM","3","06/01/2026"
"1316072358","M Health Specialties Clinic MTM","3","09/28/2022"
"1316461593","Fairview France Avenue Clinic MTM FAFP","3","06/01/2026"
"1316461593","France Avenue Family Physicians MTM Clinic","3","07/31/2017"
"1326183609","Fairview Eagan Clinic MTM","3","08/31/2022"
"1336718089","PITCHER PRIMARY CARE AND LA WELLNESS","3","09/20/2023"
"1346755576","Fairview Roselawn Clinic MTM","3","06/01/2026"
"1346755576","HealthEast Roselawn Clinic MTM","3","12/11/2017"
"1366671869","Fairview MTM Princeton","3","07/07/2009"
"1366671869","Fairview Princeton Clinic MTM","3","06/01/2026"
"1386159614","Fairview Woodwinds Clinic MTM","3","06/01/2026"
"1386159614","HealthEast Woodwinds Clinic MTM","3","12/08/2017"
